BmGene	BmChr	BmGeneStart	Bmsbid	PnGene	PnChr	PnGeneStart	sbid
BGIBMGA000163	Bmori_chr_1	4637857	1	PIENAPG00000011590	Pnapi_chr_1	7236450	2
BGIBMGA000164	Bmori_chr_1	4688480	1	PIENAPG00000008349	Pnapi_chr_1	7251237	2
BGIBMGA000166	Bmori_chr_1	4719260	1	PIENAPG00000008469	Pnapi_chr_1	7272464	2
BGIBMGA000167	Bmori_chr_1	4747845	1	PIENAPG00000012807	Pnapi_chr_1	7284199	2
BGIBMGA000168	Bmori_chr_1	4763306	1	PIENAPG00000000148	Pnapi_chr_1	7338159	2
BGIBMGA000170	Bmori_chr_1	4824081	1	PIENAPG00000006140	Pnapi_chr_1	7319548	2
BGIBMGA000172	Bmori_chr_1	4937531	1	PIENAPG00000004048	Pnapi_chr_1	7306130	2
BGIBMGA000173	Bmori_chr_1	4960991	1	PIENAPG00000010427	Pnapi_chr_1	7302970	2
BGIBMGA000177	Bmori_chr_1	4997271	1	PIENAPG00000008335	Pnapi_chr_1	7294238	2
BGIBMGA000213	Bmori_chr_1	6450035	1	PIENAPG00000012252	Pnapi_chr_1	6558672	2
BGIBMGA000220	Bmori_chr_1	6611934	1	PIENAPG00000011612	Pnapi_chr_1	7439137	2
BGIBMGA000221	Bmori_chr_1	6626647	1	PIENAPG00000007437	Pnapi_chr_1	7457525	2
BGIBMGA000222	Bmori_chr_1	6645490	1	PIENAPG00000003574	Pnapi_chr_1	7474102	2
BGIBMGA000223	Bmori_chr_1	6652315	1	PIENAPG00000013147	Pnapi_chr_1	7475854	2
BGIBMGA000224	Bmori_chr_1	6660811	1	PIENAPG00000011135	Pnapi_chr_1	7482349	2
BGIBMGA000226	Bmori_chr_1	6702416	1	PIENAPG00000001062	Pnapi_chr_1	7502167	2
BGIBMGA000227	Bmori_chr_1	6748908	1	PIENAPG00000013197	Pnapi_chr_1	7544065	2
BGIBMGA000228	Bmori_chr_1	6757107	1	PIENAPG00000004803	Pnapi_chr_1	7577322	2
BGIBMGA000230	Bmori_chr_1	6817518	1	PIENAPG00000000572	Pnapi_chr_1	7590787	2
BGIBMGA000231	Bmori_chr_1	6843454	1	PIENAPG00000007896	Pnapi_chr_1	7604458	2
BGIBMGA000232	Bmori_chr_1	6854249	1	PIENAPG00000007896	Pnapi_chr_1	7604458	2
BGIBMGA000235	Bmori_chr_1	6927593	1	PIENAPG00000002447	Pnapi_chr_1	7618514	2
BGIBMGA000236	Bmori_chr_1	7035529	1	PIENAPG00000007735	Pnapi_chr_1	7676871	2
BGIBMGA000237	Bmori_chr_1	7050132	1	PIENAPG00000001216	Pnapi_chr_1	7689496	2
BGIBMGA000239	Bmori_chr_1	7267656	1	PIENAPG00000004110	Pnapi_chr_1	7824943	2
BGIBMGA000240	Bmori_chr_1	7300482	1	PIENAPG00000003263	Pnapi_chr_1	7841949	2
BGIBMGA000241	Bmori_chr_1	7326774	1	PIENAPG00000002801	Pnapi_chr_1	7877068	2
BGIBMGA000242	Bmori_chr_1	7380159	1	PIENAPG00000011955	Pnapi_chr_1	7914846	2
BGIBMGA000245	Bmori_chr_1	7445734	1	PIENAPG00000011406	Pnapi_chr_1	7995515	2
BGIBMGA000247	Bmori_chr_1	7579892	1	PIENAPG00000010541	Pnapi_chr_1	8142208	2
BGIBMGA000248	Bmori_chr_1	7812059	1	PIENAPG00000002110	Pnapi_chr_1	8279414	2
BGIBMGA000249	Bmori_chr_1	7866277	1	PIENAPG00000006479	Pnapi_chr_1	8330348	2
BGIBMGA000252	Bmori_chr_1	7942278	1	PIENAPG00000008394	Pnapi_chr_1	8446480	2
BGIBMGA000253	Bmori_chr_1	7998404	1	PIENAPG00000013420	Pnapi_chr_1	8469157	2
BGIBMGA000257	Bmori_chr_1	8036529	1	PIENAPG00000008357	Pnapi_chr_1	8505197	2
BGIBMGA000258	Bmori_chr_1	8060590	1	PIENAPG00000012409	Pnapi_chr_1	8520182	2
BGIBMGA000259	Bmori_chr_1	8133373	1	PIENAPG00000010199	Pnapi_chr_1	8579879	2
BGIBMGA000264	Bmori_chr_1	8493822	1	PIENAPG00000010630	Pnapi_chr_1	8868641	2
BGIBMGA000267	Bmori_chr_1	8533563	1	PIENAPG00000005097	Pnapi_chr_1	8897057	2
BGIBMGA000274	Bmori_chr_1	8726416	1	PIENAPG00000009888	Pnapi_chr_1	9065826	2
BGIBMGA000275	Bmori_chr_1	8764200	1	PIENAPG00000010884	Pnapi_chr_1	9106610	2
BGIBMGA000277	Bmori_chr_1	8795363	1	PIENAPG00000003501	Pnapi_chr_1	9140654	2
BGIBMGA000278	Bmori_chr_1	8881400	1	PIENAPG00000004919	Pnapi_chr_1	9228864	2
BGIBMGA000280	Bmori_chr_1	8956161	1	PIENAPG00000007691	Pnapi_chr_1	9244513	2
BGIBMGA000283	Bmori_chr_1	8988714	1	PIENAPG00000001291	Pnapi_chr_1	9275499	2
BGIBMGA000284	Bmori_chr_1	9013614	1	PIENAPG00000000718	Pnapi_chr_1	9307485	2
BGIBMGA000288	Bmori_chr_1	9040025	1	PIENAPG00000010871	Pnapi_chr_1	9417020	2
BGIBMGA000296	Bmori_chr_1	9124763	1	PIENAPG00000000525	Pnapi_chr_1	9514586	2
BGIBMGA000297	Bmori_chr_1	9138496	1	PIENAPG00000013574	Pnapi_chr_1	9413180	2
BGIBMGA000299	Bmori_chr_1	9156344	1	PIENAPG00000008104	Pnapi_chr_1	9539396	2
BGIBMGA000300	Bmori_chr_1	9165288	1	PIENAPG00000008176	Pnapi_chr_1	9527430	2
BGIBMGA000304	Bmori_chr_1	9221479	1	PIENAPG00000002215	Pnapi_chr_1	9354709	2
BGIBMGA000306	Bmori_chr_1	9253073	1	PIENAPG00000009311	Pnapi_chr_1	9573600	2
BGIBMGA000307	Bmori_chr_1	9277651	1	PIENAPG00000008902	Pnapi_chr_1	9609468	2
BGIBMGA000308	Bmori_chr_1	9304931	1	PIENAPG00000012168	Pnapi_chr_1	9678631	2
BGIBMGA000311	Bmori_chr_1	9344914	1	PIENAPG00000006522	Pnapi_chr_1	9733318	2
BGIBMGA000312	Bmori_chr_1	9356219	1	PIENAPG00000006139	Pnapi_chr_1	9753247	2
BGIBMGA000313	Bmori_chr_1	9375334	1	PIENAPG00000008291	Pnapi_chr_1	9763362	2
BGIBMGA000316	Bmori_chr_1	9414935	1	PIENAPG00000007342	Pnapi_chr_1	9784988	2
BGIBMGA000317	Bmori_chr_1	9435066	1	PIENAPG00000012797	Pnapi_chr_1	9804877	2
BGIBMGA000318	Bmori_chr_1	9460361	1	PIENAPG00000001733	Pnapi_chr_1	9829607	2
BGIBMGA000324	Bmori_chr_1	9753237	1	PIENAPG00000000462	Pnapi_chr_1	10147954	2
BGIBMGA000326	Bmori_chr_1	9822442	1	PIENAPG00000008181	Pnapi_chr_1	10090109	2
BGIBMGA000327	Bmori_chr_1	9840438	1	PIENAPG00000004734	Pnapi_chr_1	10068617	2
BGIBMGA000329	Bmori_chr_1	9868570	1	PIENAPG00000001376	Pnapi_chr_1	11344811	2
BGIBMGA000331	Bmori_chr_1	9934767	1	PIENAPG00000010030	Pnapi_chr_1	11320454	2
BGIBMGA000332	Bmori_chr_1	9940256	1	PIENAPG00000011772	Pnapi_chr_1	11313396	2
BGIBMGA000334	Bmori_chr_1	9951172	1	PIENAPG00000004160	Pnapi_chr_1	11309749	2
BGIBMGA000337	Bmori_chr_1	9967557	1	PIENAPG00000012172	Pnapi_chr_1	11294592	2
BGIBMGA000339	Bmori_chr_1	10075074	1	PIENAPG00000004049	Pnapi_chr_1	11210226	2
BGIBMGA000342	Bmori_chr_1	10182250	1	PIENAPG00000000359	Pnapi_chr_1	11136135	2
BGIBMGA000344	Bmori_chr_1	10208803	1	PIENAPG00000005201	Pnapi_chr_1	10993273	2
BGIBMGA000345	Bmori_chr_1	10224703	1	PIENAPG00000001119	Pnapi_chr_1	10999784	2
BGIBMGA000346	Bmori_chr_1	10231115	1	PIENAPG00000012945	Pnapi_chr_1	11009850	2
BGIBMGA000347	Bmori_chr_1	10245212	1	PIENAPG00000007482	Pnapi_chr_1	11022327	2
BGIBMGA000350	Bmori_chr_1	10277867	1	PIENAPG00000008911	Pnapi_chr_1	10723391	2
BGIBMGA000351	Bmori_chr_1	10291630	1	PIENAPG00000004575	Pnapi_chr_1	10733908	2
BGIBMGA000352	Bmori_chr_1	10298376	1	PIENAPG00000001929	Pnapi_chr_1	10743887	2
BGIBMGA000354	Bmori_chr_1	10322073	1	PIENAPG00000009373	Pnapi_chr_1	10765953	2
BGIBMGA000355	Bmori_chr_1	10344436	1	PIENAPG00000010737	Pnapi_chr_1	10781370	2
BGIBMGA000356	Bmori_chr_1	10360022	1	PIENAPG00000002997	Pnapi_chr_1	10820560	2
BGIBMGA000357	Bmori_chr_1	10389488	1	PIENAPG00000012635	Pnapi_chr_1	10856669	2
BGIBMGA000358	Bmori_chr_1	10404374	1	PIENAPG00000010877	Pnapi_chr_1	10874137	2
BGIBMGA000359	Bmori_chr_1	10437264	1	PIENAPG00000001980	Pnapi_chr_1	10886099	2
BGIBMGA000361	Bmori_chr_1	10456156	1	PIENAPG00000002518	Pnapi_chr_1	10886964	2
BGIBMGA000362	Bmori_chr_1	10471223	1	PIENAPG00000004775	Pnapi_chr_1	10899791	2
BGIBMGA000365	Bmori_chr_1	10511715	1	PIENAPG00000002740	Pnapi_chr_1	10918786	2
BGIBMGA000366	Bmori_chr_1	10520960	1	PIENAPG00000012946	Pnapi_chr_1	10929962	2
BGIBMGA000367	Bmori_chr_1	10572423	1	PIENAPG00000003305	Pnapi_chr_1	11078950	2
BGIBMGA000368	Bmori_chr_1	10602551	1	PIENAPG00000008923	Pnapi_chr_1	11035700	2
BGIBMGA000370	Bmori_chr_1	10726129	1	PIENAPG00000009019	Pnapi_chr_1	10654472	2
BGIBMGA000372	Bmori_chr_1	10771568	1	PIENAPG00000002887	Pnapi_chr_1	10610398	2
BGIBMGA000373	Bmori_chr_1	10803625	1	PIENAPG00000009993	Pnapi_chr_1	10593349	2
BGIBMGA000375	Bmori_chr_1	10855404	1	PIENAPG00000006096	Pnapi_chr_1	10412177	2
BGIBMGA000378	Bmori_chr_1	10877564	1	PIENAPG00000013603	Pnapi_chr_1	10406921	2
BGIBMGA000381	Bmori_chr_1	10919948	1	PIENAPG00000000789	Pnapi_chr_1	10366985	2
BGIBMGA000382	Bmori_chr_1	10922451	1	PIENAPG00000012324	Pnapi_chr_1	10373273	2
BGIBMGA000384	Bmori_chr_1	11002550	1	PIENAPG00000002552	Pnapi_chr_1	10300770	2
BGIBMGA000388	Bmori_chr_1	11079317	1	PIENAPG00000001256	Pnapi_chr_1	10274944	2
BGIBMGA000389	Bmori_chr_1	11105828	1	PIENAPG00000001970	Pnapi_chr_1	10182292	2
BGIBMGA000393	Bmori_chr_1	11334017	1	PIENAPG00000010062	Pnapi_chr_1	3956569	2
BGIBMGA000394	Bmori_chr_1	11342139	1	PIENAPG00000011537	Pnapi_chr_1	3948305	2
BGIBMGA000395	Bmori_chr_1	11353298	1	PIENAPG00000011234	Pnapi_chr_1	3940845	2
BGIBMGA000396	Bmori_chr_1	11372033	1	PIENAPG00000010333	Pnapi_chr_1	3927884	2
BGIBMGA000397	Bmori_chr_1	11390387	1	PIENAPG00000007229	Pnapi_chr_1	3912148	2
BGIBMGA000399	Bmori_chr_1	11419210	1	PIENAPG00000013155	Pnapi_chr_1	10558532	2
BGIBMGA000404	Bmori_chr_1	11523107	1	PIENAPG00000010909	Pnapi_chr_1	4080038	2
BGIBMGA000406	Bmori_chr_1	11562919	1	PIENAPG00000003745	Pnapi_chr_1	4106481	2
BGIBMGA000408	Bmori_chr_1	11576604	1	PIENAPG00000010711	Pnapi_chr_1	4137420	2
BGIBMGA000410	Bmori_chr_1	11615731	1	PIENAPG00000010031	Pnapi_chr_1	4157462	2
BGIBMGA000411	Bmori_chr_1	11639611	1	PIENAPG00000007532	Pnapi_chr_1	4384501	2
BGIBMGA000412	Bmori_chr_1	11668015	1	PIENAPG00000006138	Pnapi_chr_1	4309006	2
BGIBMGA000415	Bmori_chr_1	11757987	1	PIENAPG00000009217	Pnapi_chr_1	4304172	2
BGIBMGA000416	Bmori_chr_1	11778098	1	PIENAPG00000009829	Pnapi_chr_1	4168535	2
BGIBMGA000417	Bmori_chr_1	11792312	1	PIENAPG00000003875	Pnapi_chr_1	4190751	2
BGIBMGA000420	Bmori_chr_1	11897847	1	PIENAPG00000005210	Pnapi_chr_1	4229169	2
BGIBMGA000421	Bmori_chr_1	11902818	1	PIENAPG00000005210	Pnapi_chr_1	4229169	2
BGIBMGA000422	Bmori_chr_1	11905039	1	PIENAPG00000000272	Pnapi_chr_1	4242671	2
BGIBMGA000424	Bmori_chr_1	11925493	1	PIENAPG00000012374	Pnapi_chr_1	4284799	2
BGIBMGA000425	Bmori_chr_1	11943596	1	PIENAPG00000005231	Pnapi_chr_1	10964778	2
BGIBMGA000426	Bmori_chr_1	12008314	1	PIENAPG00000013579	Pnapi_chr_1	4401175	2
BGIBMGA000428	Bmori_chr_1	12014499	1	PIENAPG00000000828	Pnapi_chr_1	4411371	2
BGIBMGA000429	Bmori_chr_1	12043247	1	PIENAPG00000005883	Pnapi_chr_1	4417608	2
BGIBMGA000430	Bmori_chr_1	12050833	1	PIENAPG00000009194	Pnapi_chr_1	4424259	2
BGIBMGA000432	Bmori_chr_1	12059768	1	PIENAPG00000001798	Pnapi_chr_1	4464825	2
BGIBMGA000433	Bmori_chr_1	12082095	1	PIENAPG00000007812	Pnapi_chr_1	4471178	2
BGIBMGA000434	Bmori_chr_1	12166587	1	PIENAPG00000004070	Pnapi_chr_1	4535940	2
BGIBMGA000436	Bmori_chr_1	12215106	1	PIENAPG00000008013	Pnapi_chr_1	4563642	2
BGIBMGA000440	Bmori_chr_1	12307606	1	PIENAPG00000012418	Pnapi_chr_1	3090222	2
BGIBMGA000441	Bmori_chr_1	12322827	1	PIENAPG00000006960	Pnapi_chr_1	3057397	2
BGIBMGA000446	Bmori_chr_1	12388186	1	PIENAPG00000012322	Pnapi_chr_1	3028767	2
BGIBMGA000447	Bmori_chr_1	12420882	1	PIENAPG00000012767	Pnapi_chr_1	3020822	2
BGIBMGA000449	Bmori_chr_1	12441128	1	PIENAPG00000005601	Pnapi_chr_1	2997877	2
BGIBMGA000451	Bmori_chr_1	12467851	1	PIENAPG00000008385	Pnapi_chr_1	2982797	2
BGIBMGA000454	Bmori_chr_1	12480899	1	PIENAPG00000002993	Pnapi_chr_1	2970516	2
BGIBMGA000488	Bmori_chr_1	13498006	1	PIENAPG00000006639	Pnapi_chr_1	3731281	2
BGIBMGA000491	Bmori_chr_1	13581883	1	PIENAPG00000008416	Pnapi_chr_1	3770108	2
BGIBMGA000494	Bmori_chr_1	14154308	1	PIENAPG00000012466	Pnapi_chr_1	3543227	2
BGIBMGA000497	Bmori_chr_1	14170044	1	PIENAPG00000012487	Pnapi_chr_1	3550467	2
BGIBMGA000499	Bmori_chr_1	14192859	1	PIENAPG00000005103	Pnapi_chr_1	3559859	2
BGIBMGA000501	Bmori_chr_1	14227772	1	PIENAPG00000003906	Pnapi_chr_1	3580981	2
BGIBMGA000503	Bmori_chr_1	14252852	1	PIENAPG00000011104	Pnapi_chr_1	3588802	2
BGIBMGA000504	Bmori_chr_1	14259502	1	PIENAPG00000013567	Pnapi_chr_1	3613829	2
BGIBMGA000507	Bmori_chr_1	14272516	1	PIENAPG00000005604	Pnapi_chr_1	3622485	2
BGIBMGA000508	Bmori_chr_1	14317524	1	PIENAPG00000000445	Pnapi_chr_1	3650192	2
BGIBMGA000518	Bmori_chr_1	15085803	1	PIENAPG00000006724	Pnapi_chr_1	3449259	2
BGIBMGA000520	Bmori_chr_1	15112863	1	PIENAPG00000009593	Pnapi_chr_1	3428476	2
BGIBMGA000522	Bmori_chr_1	15171114	1	PIENAPG00000002559	Pnapi_chr_1	3411219	2
BGIBMGA000524	Bmori_chr_1	15244867	1	PIENAPG00000001393	Pnapi_chr_1	3368113	2
BGIBMGA000525	Bmori_chr_1	15265599	1	PIENAPG00000007527	Pnapi_chr_1	3361672	2
BGIBMGA000526	Bmori_chr_1	15286210	1	PIENAPG00000011922	Pnapi_chr_1	3339193	2
BGIBMGA000528	Bmori_chr_1	15294097	1	PIENAPG00000004078	Pnapi_chr_1	3333506	2
BGIBMGA000529	Bmori_chr_1	15310849	1	PIENAPG00000010517	Pnapi_chr_1	3297279	2
BGIBMGA000534	Bmori_chr_1	15430758	1	PIENAPG00000009501	Pnapi_chr_1	3205817	2
BGIBMGA000536	Bmori_chr_1	15498082	1	PIENAPG00000012483	Pnapi_chr_1	3179191	2
BGIBMGA000537	Bmori_chr_1	15540047	1	PIENAPG00000000105	Pnapi_chr_1	3170270	2
BGIBMGA000538	Bmori_chr_1	15559394	1	PIENAPG00000005945	Pnapi_chr_1	3160468	2
BGIBMGA000539	Bmori_chr_1	15595590	1	PIENAPG00000004767	Pnapi_chr_1	5097541	2
BGIBMGA000554	Bmori_chr_1	15993740	1	PIENAPG00000008700	Pnapi_chr_1	4707172	2
BGIBMGA000555	Bmori_chr_1	16033375	1	PIENAPG00000005072	Pnapi_chr_1	4677706	2
BGIBMGA000556	Bmori_chr_1	16040584	1	PIENAPG00000004382	Pnapi_chr_1	4672186	2
BGIBMGA000559	Bmori_chr_1	16199465	1	PIENAPG00000007498	Pnapi_chr_1	4610615	2
BGIBMGA000565	Bmori_chr_1	16407114	1	PIENAPG00000001513	Pnapi_chr_1	3134893	2
BGIBMGA000566	Bmori_chr_1	16418618	1	PIENAPG00000007014	Pnapi_chr_1	3147839	2
BGIBMGA000567	Bmori_chr_1	16424293	1	PIENAPG00000012801	Pnapi_chr_1	3155044	2
BGIBMGA000572	Bmori_chr_1	16480867	1	PIENAPG00000002821	Pnapi_chr_1	5061531	2
BGIBMGA000576	Bmori_chr_1	16602163	1	PIENAPG00000004181	Pnapi_chr_1	4987210	2
BGIBMGA000577	Bmori_chr_1	16629635	1	PIENAPG00000010555	Pnapi_chr_1	4968223	2
BGIBMGA000579	Bmori_chr_1	16649722	1	PIENAPG00000003493	Pnapi_chr_1	4964020	2
BGIBMGA000581	Bmori_chr_1	16660235	1	PIENAPG00000012035	Pnapi_chr_1	4901864	2
BGIBMGA000583	Bmori_chr_1	16703632	1	PIENAPG00000008278	Pnapi_chr_1	4943961	2
BGIBMGA000584	Bmori_chr_1	16828177	1	PIENAPG00000004644	Pnapi_chr_1	4895328	2
BGIBMGA000586	Bmori_chr_1	16875584	1	PIENAPG00000003126	Pnapi_chr_1	4859558	2
BGIBMGA000592	Bmori_chr_1	16968106	1	PIENAPG00000012905	Pnapi_chr_1	4825838	2
BGIBMGA000593	Bmori_chr_1	16984951	1	PIENAPG00000004508	Pnapi_chr_1	4814192	2
BGIBMGA000594	Bmori_chr_1	17058197	1	PIENAPG00000012874	Pnapi_chr_1	4759911	2
BGIBMGA000595	Bmori_chr_1	17085160	1	PIENAPG00000012194	Pnapi_chr_1	5193215	2
BGIBMGA000604	Bmori_chr_1	17275592	1	PIENAPG00000007662	Pnapi_chr_1	5289693	2
BGIBMGA000605	Bmori_chr_1	17291431	1	PIENAPG00000011688	Pnapi_chr_1	5303126	2
BGIBMGA000609	Bmori_chr_1	17338625	1	PIENAPG00000011096	Pnapi_chr_1	5311846	2
BGIBMGA000610	Bmori_chr_1	17353416	1	PIENAPG00000013282	Pnapi_chr_1	5322601	2
BGIBMGA000611	Bmori_chr_1	17360348	1	PIENAPG00000006817	Pnapi_chr_1	5328079	2
BGIBMGA000614	Bmori_chr_1	17465579	1	PIENAPG00000001846	Pnapi_chr_1	5357136	2
BGIBMGA000616	Bmori_chr_1	17501342	1	PIENAPG00000011396	Pnapi_chr_1	5397722	2
BGIBMGA000621	Bmori_chr_1	17535521	1	PIENAPG00000002837	Pnapi_chr_1	5434936	2
BGIBMGA000622	Bmori_chr_1	17564212	1	PIENAPG00000009490	Pnapi_chr_1	5445949	2
BGIBMGA000623	Bmori_chr_1	17583371	1	PIENAPG00000001738	Pnapi_chr_1	5461347	2
BGIBMGA000624	Bmori_chr_1	17631951	1	PIENAPG00000005282	Pnapi_chr_1	5488104	2
BGIBMGA000630	Bmori_chr_1	17743787	1	PIENAPG00000012467	Pnapi_chr_1	5533144	2
BGIBMGA000632	Bmori_chr_1	17819591	1	PIENAPG00000002080	Pnapi_chr_1	5552668	2
BGIBMGA000633	Bmori_chr_1	17846234	1	PIENAPG00000013181	Pnapi_chr_1	5561561	2
BGIBMGA000636	Bmori_chr_1	18028464	1	PIENAPG00000005151	Pnapi_chr_1	5574215	2
BGIBMGA000638	Bmori_chr_1	18046832	1	PIENAPG00000004338	Pnapi_chr_1	5578470	2
BGIBMGA000644	Bmori_chr_1	18325249	1	PIENAPG00000012565	Pnapi_chr_1	5585325	2
BGIBMGA000645	Bmori_chr_1	18460008	1	PIENAPG00000012145	Pnapi_chr_1	5668707	2
BGIBMGA000646	Bmori_chr_1	18537640	1	PIENAPG00000000037	Pnapi_chr_1	5713867	2
BGIBMGA000648	Bmori_chr_1	18595781	1	PIENAPG00000002593	Pnapi_chr_1	5749658	2
BGIBMGA000649	Bmori_chr_1	18616998	1	PIENAPG00000000595	Pnapi_chr_1	5755362	2
BGIBMGA000652	Bmori_chr_1	18655739	1	PIENAPG00000007920	Pnapi_chr_1	5853830	2
BGIBMGA000653	Bmori_chr_1	18674359	1	PIENAPG00000010513	Pnapi_chr_1	5865879	2
BGIBMGA000656	Bmori_chr_1	18763267	1	PIENAPG00000010795	Pnapi_chr_1	5920399	2
BGIBMGA000657	Bmori_chr_1	18766827	1	PIENAPG00000004872	Pnapi_chr_1	5924438	2
BGIBMGA000658	Bmori_chr_1	18808982	1	PIENAPG00000006961	Pnapi_chr_1	5945752	2
BGIBMGA000660	Bmori_chr_1	19087206	1	PIENAPG00000003833	Pnapi_chr_1	6108635	2
BGIBMGA000661	Bmori_chr_1	19179338	1	PIENAPG00000006776	Pnapi_chr_1	6148632	2
BGIBMGA000664	Bmori_chr_1	19223701	1	PIENAPG00000010936	Pnapi_chr_1	6179757	2
BGIBMGA000666	Bmori_chr_1	19308635	1	PIENAPG00000013047	Pnapi_chr_1	6223149	2
BGIBMGA000689	Bmori_chr_1	20977119	1	PIENAPG00000010699	Pnapi_chr_1	7217812	2
BGIBMGA000694	Bmori_chr_1	21183550	1	PIENAPG00000006718	Pnapi_chr_1	6562630	2
BGIBMGA000695	Bmori_chr_1	21187272	1	PIENAPG00000009868	Pnapi_chr_1	3783035	2
BGIBMGA000704	Bmori_chr_1	21379476	1	PIENAPG00000011270	Pnapi_chr_1	2529308	2
BGIBMGA000706	Bmori_chr_1	21480999	1	PIENAPG00000002429	Pnapi_chr_1	2825648	2
BGIBMGA000708	Bmori_chr_1	21537282	1	PIENAPG00000000169	Pnapi_chr_1	2854780	2
BGIBMGA000716	Bmori_chr_1	21794220	1	PIENAPG00000006783	Pnapi_chr_1	2532944	2
BGIBMGA000719	Bmori_chr_1	21842455	1	PIENAPG00000002284	Pnapi_chr_1	2552189	2
BGIBMGA000720	Bmori_chr_1	21849864	1	PIENAPG00000003764	Pnapi_chr_1	2560580	2
BGIBMGA000722	Bmori_chr_1	21977733	1	PIENAPG00000009831	Pnapi_chr_1	2622459	2
BGIBMGA000725	Bmori_chr_1	22022408	1	PIENAPG00000001687	Pnapi_chr_1	2681865	2
BGIBMGA000726	Bmori_chr_1	22118288	1	PIENAPG00000004714	Pnapi_chr_1	2694150	2
BGIBMGA005298	Bmori_chr_10	5243	2	PIENAPG00000000401	Pnapi_chr_13	5110145	20
BGIBMGA005299	Bmori_chr_10	9736	2	PIENAPG00000006459	Pnapi_chr_13	5108202	20
BGIBMGA005300	Bmori_chr_10	17895	2	PIENAPG00000008343	Pnapi_chr_13	5105304	20
BGIBMGA005309	Bmori_chr_10	319308	2	PIENAPG00000010857	Pnapi_chr_13	4953140	20
