Marker Chromosome Physical_coordinate_bp genetic_coordinate_cM
144 Chromosome_1 1630184 53.27
146 Chromosome_1 1630196 53.27
147 Chromosome_1 1630199 53.27
148 Chromosome_1 1630225 52.91
149 Chromosome_1 1630231 52.91
150 Chromosome_1 1630245 53.27
155 Chromosome_1 1658603 52.91
156 Chromosome_1 1658638 53.27
158 Chromosome_1 1716074 53.27
161 Chromosome_1 1884713 52.18
163 Chromosome_1 1955188 50.71
164 Chromosome_1 1955189 50.71
165 Chromosome_1 1955253 50.71
166 Chromosome_1 1955266 50.71
167 Chromosome_1 1955280 50.71
168 Chromosome_1 2052064 49.98
169 Chromosome_1 2052066 50.34
172 Chromosome_1 2081504 49.98
173 Chromosome_1 2081507 50.34
175 Chromosome_1 2081576 50.34
176 Chromosome_1 2081583 50.34
177 Chromosome_1 2081586 50.34
180 Chromosome_1 2282226 50.34
186 Chromosome_1 2370859 48.88
187 Chromosome_1 2370862 48.88
188 Chromosome_1 2370872 48.88
189 Chromosome_1 2370882 48.88
190 Chromosome_1 2370920 48.88
191 Chromosome_1 2370937 48.88
192 Chromosome_1 2370938 48.88
195 Chromosome_1 2538325 48.52
196 Chromosome_1 2538331 48.52
201 Chromosome_1 2627349 47.05
204 Chromosome_1 2661554 45.95
205 Chromosome_1 2661593 45.95
209 Chromosome_1 2661613 45.95
215 Chromosome_1 2681039 45.95
217 Chromosome_1 2724859 45.95
218 Chromosome_1 2724888 45.95
222 Chromosome_1 2800533 45.22
227 Chromosome_1 2885754 45.22
230 Chromosome_1 2907783 45.22
237 Chromosome_1 2985370 45.22
238 Chromosome_1 3027681 45.22
239 Chromosome_1 3027687 45.22
241 Chromosome_1 3088466 44.86
242 Chromosome_1 3088478 44.86
245 Chromosome_1 3088536 44.86
246 Chromosome_1 3301377 44.13
247 Chromosome_1 3301389 44.13
248 Chromosome_1 3301392 44.13
249 Chromosome_1 3301410 44.13
253 Chromosome_1 3383290 36.31
254 Chromosome_1 3383291 43.40
257 Chromosome_1 3383307 43.76
258 Chromosome_1 3383314 43.40
259 Chromosome_1 3383315 43.76
260 Chromosome_1 3383321 44.86
263 Chromosome_1 3383350 44.86
264 Chromosome_1 3383357 43.76
265 Chromosome_1 3383373 43.76
266 Chromosome_1 3383375 44.86
273 Chromosome_1 3583997 41.56
274 Chromosome_1 3607730 41.93
281 Chromosome_1 3683289 40.09
282 Chromosome_1 3683292 39.73
284 Chromosome_1 3735274 40.09
286 Chromosome_1 3735301 39.73
287 Chromosome_1 3735304 39.73
288 Chromosome_1 3735315 39.73
289 Chromosome_1 3735323 39.73
293 Chromosome_1 3822347 39.73
294 Chromosome_1 3822366 39.73
295 Chromosome_1 3822402 39.73
299 Chromosome_1 3971741 39.37
300 Chromosome_1 4233332 39.00
301 Chromosome_1 4398702 38.27
303 Chromosome_1 4398718 38.27
309 Chromosome_1 4483366 37.91
310 Chromosome_1 4483367 37.91
311 Chromosome_1 4483420 37.91
314 Chromosome_1 4584387 37.91
315 Chromosome_1 4584396 37.91
317 Chromosome_1 4603594 37.91
318 Chromosome_1 4603604 37.91
319 Chromosome_1 4603676 37.91
321 Chromosome_1 4668951 37.91
323 Chromosome_1 4709909 37.54
333 Chromosome_1 4939149 34.96
334 Chromosome_1 4939150 34.96
335 Chromosome_1 4949939 35.32
336 Chromosome_1 4949953 34.96
337 Chromosome_1 4949985 34.96
338 Chromosome_1 4949989 34.96
339 Chromosome_1 4949990 35.32
340 Chromosome_1 4982699 35.32
341 Chromosome_1 5115951 34.60
347 Chromosome_1 5440342 33.50
348 Chromosome_1 5737367 31.30
349 Chromosome_1 5737369 30.93
351 Chromosome_1 5737400 31.30
359 Chromosome_1 5840688 30.93
368 Chromosome_1 6020991 30.93
369 Chromosome_1 6042044 31.30
370 Chromosome_1 6116732 30.93
371 Chromosome_1 6215547 30.93
372 Chromosome_1 6215587 30.93
373 Chromosome_1 6308744 30.57
374 Chromosome_1 6308749 30.20
375 Chromosome_1 6308766 30.57
376 Chromosome_1 6308769 30.57
401 Chromosome_1 6443397 32.03
402 Chromosome_1 6443398 32.03
403 Chromosome_1 6479728 29.84
404 Chromosome_1 6479770 29.84
405 Chromosome_1 6788666 29.11
406 Chromosome_1 6788701 28.38
407 Chromosome_1 6788727 29.11
408 Chromosome_1 6788730 29.11
410 Chromosome_1 6826814 29.11
411 Chromosome_1 6888788 28.75
412 Chromosome_1 6888824 28.38
413 Chromosome_1 6982101 28.75
415 Chromosome_1 6982107 28.38
417 Chromosome_1 7188608 28.02
418 Chromosome_1 7188623 28.02
419 Chromosome_1 7198089 28.02
420 Chromosome_1 7222606 28.02
422 Chromosome_1 7432490 28.02
426 Chromosome_1 7673489 26.55
427 Chromosome_1 7673557 26.55
429 Chromosome_1 7772371 26.55
430 Chromosome_1 7772379 26.55
459 Chromosome_1 8053298 26.19
460 Chromosome_1 8136490 25.82
465 Chromosome_1 8339915 24.72
472 Chromosome_1 8591100 22.88
473 Chromosome_1 8591160 22.88
475 Chromosome_1 8635653 22.88
476 Chromosome_1 8665625 22.88
477 Chromosome_1 8665628 22.88
481 Chromosome_1 8823225 22.15
482 Chromosome_1 8860786 22.15
483 Chromosome_1 8860801 22.15
484 Chromosome_1 8872961 22.15
485 Chromosome_1 8872966 22.15
487 Chromosome_1 8872994 22.15
498 Chromosome_1 8905126 21.78
499 Chromosome_1 8905138 21.78
500 Chromosome_1 8905172 21.78
501 Chromosome_1 8927462 21.42
502 Chromosome_1 8927503 21.42
503 Chromosome_1 8927508 21.42
504 Chromosome_1 8927510 21.42
505 Chromosome_1 8927537 21.42
510 Chromosome_1 9030201 21.42
525 Chromosome_1 9412744 20.32
526 Chromosome_1 9475503 19.96
527 Chromosome_1 9475544 19.96
562 Chromosome_1 9616020 15.01
563 Chromosome_1 9616037 15.01
564 Chromosome_1 9899676 13.54
568 Chromosome_1 10184628 12.81
569 Chromosome_1 10232939 12.81
571 Chromosome_1 10237801 12.81
572 Chromosome_1 10237826 12.81
575 Chromosome_1 10285460 12.45
576 Chromosome_1 10285507 12.45
577 Chromosome_1 10357767 11.35
578 Chromosome_1 10428749 10.25
579 Chromosome_1 10428753 10.25
580 Chromosome_1 10456040 4.73
594 Chromosome_1 10775242 8.40
597 Chromosome_1 10775303 8.40
599 Chromosome_1 10791003 8.40
602 Chromosome_1 10791033 8.40
604 Chromosome_1 10881894 7.30
605 Chromosome_1 10881904 7.30
607 Chromosome_1 10881949 7.30
611 Chromosome_1 10881956 7.30
613 Chromosome_1 10908203 7.30
614 Chromosome_1 10944451 7.30
617 Chromosome_1 10980983 7.30
619 Chromosome_1 11023481 6.94
620 Chromosome_1 11023544 6.94
621 Chromosome_1 11023566 6.94
622 Chromosome_1 11182156 5.48
623 Chromosome_1 11182194 5.48
624 Chromosome_1 11182216 5.48
627 Chromosome_1 11198126 6.21
629 Chromosome_1 11198154 6.21
630 Chromosome_1 11198183 5.85
635 Chromosome_1 11219409 30.85
636 Chromosome_1 11250077 5.85
638 Chromosome_1 11269262 5.48
639 Chromosome_1 11342704 5.85
640 Chromosome_1 11363795 5.12
642 Chromosome_1 11363809 5.48
643 Chromosome_1 11363829 5.48
644 Chromosome_1 11363867 5.12
656 Chromosome_1 11455594 5.48
659 Chromosome_1 11455645 5.48
660 Chromosome_1 11542639 6.21
661 Chromosome_1 11542647 6.21
663 Chromosome_1 11542679 5.48
678 Chromosome_1 11704291 4.02
680 Chromosome_1 11856976 3.29
684 Chromosome_1 11858154 3.29
686 Chromosome_1 11858157 3.29
687 Chromosome_1 11906843 3.29
688 Chromosome_1 11906879 3.29
689 Chromosome_1 11906880 3.29
690 Chromosome_1 11906909 3.29
693 Chromosome_1 12071961 2.19
699 Chromosome_1 12202615 2.19
707 Chromosome_1 12317005 2.19
708 Chromosome_1 12343480 2.19
710 Chromosome_1 12343524 2.19
712 Chromosome_1 12365728 2.19
713 Chromosome_1 12365749 2.19
726 Chromosome_1 12688751 1.09
729 Chromosome_1 12779247 1.09
730 Chromosome_1 12779252 1.09
732 Chromosome_1 12779266 1.09
735 Chromosome_1 12914771 0.36
737 Chromosome_1 13066625 0.00
738 Chromosome_1 13066631 0.00
740 Chromosome_1 13066690 0.36
742 Chromosome_1 13080274 0.36
743 Chromosome_1 13080278 0.36
744 Chromosome_1 13080284 0.36
751 Chromosome_1 13153078 0.36
752 Chromosome_1 13153107 0.36
753 Chromosome_1 13153126 0.36
755 Chromosome_1 13262559 0.36
757 Chromosome_1 13299723 0.00
758 Chromosome_1 13299733 0.36
761 Chromosome_1 13477489 0.00
792 Chromosome_2 9367 56.73
795 Chromosome_2 27488 63.02
797 Chromosome_2 27522 63.02
800 Chromosome_2 75385 62.66
801 Chromosome_2 78324 62.66
802 Chromosome_2 78343 62.66
803 Chromosome_2 165689 61.93
806 Chromosome_2 344906 61.20
808 Chromosome_2 369957 61.20
810 Chromosome_2 369975 61.20
811 Chromosome_2 373708 61.20
812 Chromosome_2 376931 60.84
813 Chromosome_2 376936 61.20
815 Chromosome_2 377007 61.57
816 Chromosome_2 377016 61.20
817 Chromosome_2 381567 60.84
818 Chromosome_2 381569 61.57
819 Chromosome_2 381571 61.20
820 Chromosome_2 381572 60.84
822 Chromosome_2 381596 61.57
823 Chromosome_2 381597 61.20
824 Chromosome_2 381610 61.20
825 Chromosome_2 414214 61.57
826 Chromosome_2 414218 61.20
827 Chromosome_2 414235 61.57
837 Chromosome_2 595115 53.07
838 Chromosome_2 595116 53.80
839 Chromosome_2 595120 53.80
843 Chromosome_2 595145 53.80
845 Chromosome_2 595160 53.80
850 Chromosome_2 639407 59.02
851 Chromosome_2 639414 59.38
852 Chromosome_2 639425 59.02
853 Chromosome_2 639426 59.38
854 Chromosome_2 639429 59.38
855 Chromosome_2 639441 59.38
856 Chromosome_2 639444 59.38
857 Chromosome_2 639462 59.02
858 Chromosome_2 673797 60.11
861 Chromosome_2 677521 59.02
863 Chromosome_2 677536 58.29
864 Chromosome_2 677539 58.29
866 Chromosome_2 677551 59.75
870 Chromosome_2 757296 58.29
872 Chromosome_2 757321 58.65
873 Chromosome_2 757322 58.65
874 Chromosome_2 757339 58.65
878 Chromosome_2 757372 58.65
879 Chromosome_2 757373 58.29
881 Chromosome_2 790369 58.65
887 Chromosome_2 797059 56.65
890 Chromosome_2 878437 58.29
892 Chromosome_2 878458 58.29
906 Chromosome_2 1200214 57.56
910 Chromosome_2 1747519 55.72
911 Chromosome_2 1747524 55.72
913 Chromosome_2 1747528 55.72
916 Chromosome_2 1759040 55.72
917 Chromosome_2 1759046 55.72
918 Chromosome_2 1759055 55.72
921 Chromosome_2 1759065 55.72
922 Chromosome_2 1759068 55.72
923 Chromosome_2 1759070 55.72
925 Chromosome_2 1759081 55.72
929 Chromosome_2 1762476 55.72
930 Chromosome_2 1762483 55.72
931 Chromosome_2 1762486 55.72
932 Chromosome_2 1762517 55.72
934 Chromosome_2 1807006 54.99
937 Chromosome_2 1807052 54.99
938 Chromosome_2 1807075 55.35
939 Chromosome_2 1807097 54.99
940 Chromosome_2 1831570 55.35
951 Chromosome_2 2024645 54.62
956 Chromosome_2 2073976 53.89
957 Chromosome_2 2079818 53.89
959 Chromosome_2 2079845 53.89
989 Chromosome_2 2851899 49.43
990 Chromosome_2 2851917 49.43
991 Chromosome_2 2851940 49.79
993 Chromosome_2 2851965 49.43
994 Chromosome_2 2851977 49.79
995 Chromosome_2 2857770 49.79
996 Chromosome_2 2857771 49.79
998 Chromosome_2 2857785 49.79
999 Chromosome_2 2857789 49.79
1000 Chromosome_2 2857793 49.79
1001 Chromosome_2 3017172 49.07
1002 Chromosome_2 3017247 49.07
1003 Chromosome_2 3077026 48.70
1009 Chromosome_2 3103754 48.34
1011 Chromosome_2 3103761 48.34
1013 Chromosome_2 3103800 48.34
1014 Chromosome_2 3111474 48.70
1022 Chromosome_2 3198427 48.34
1026 Chromosome_2 3224500 47.24
1027 Chromosome_2 3224507 47.24
1028 Chromosome_2 3224591 47.24
1029 Chromosome_2 3253443 15.07
1031 Chromosome_2 3253454 15.07
1036 Chromosome_2 3280020 27.85
1037 Chromosome_2 3280034 27.85
1040 Chromosome_2 3329096 45.39
1046 Chromosome_2 3454954 45.03
1047 Chromosome_2 3454966 44.67
1048 Chromosome_2 3454975 44.67
1049 Chromosome_2 3455005 45.03
1055 Chromosome_2 3473287 45.76
1056 Chromosome_2 3473289 45.76
1063 Chromosome_2 3544429 44.67
1064 Chromosome_2 3544444 45.03
1066 Chromosome_2 3544489 45.03
1067 Chromosome_2 3544490 45.03
1069 Chromosome_2 3544513 44.67
1070 Chromosome_2 3544515 44.67
1076 Chromosome_2 3710823 42.82
1077 Chromosome_2 3710831 42.82
1078 Chromosome_2 3710838 42.82
1082 Chromosome_2 3713803 42.46
1083 Chromosome_2 3750424 42.82
1085 Chromosome_2 3750463 42.82
1092 Chromosome_2 3757999 42.82
1096 Chromosome_2 3860260 41.36
1097 Chromosome_2 3900881 41.00
1098 Chromosome_2 3900932 41.36
1100 Chromosome_2 3905234 41.36
1101 Chromosome_2 3905235 41.00
1102 Chromosome_2 3922652 41.00
1108 Chromosome_2 4053361 41.36
1109 Chromosome_2 4053362 40.63
1131 Chromosome_2 4268558 40.27
1138 Chromosome_2 4268588 40.27
1141 Chromosome_2 4307288 40.27
1142 Chromosome_2 4307315 40.27
1144 Chromosome_2 4376671 16.98
1151 Chromosome_2 4484607 38.81
1155 Chromosome_2 4497102 38.81
1156 Chromosome_2 4497104 38.81
1158 Chromosome_2 4497118 38.81
1160 Chromosome_2 4497157 38.81
1170 Chromosome_2 4623172 38.44
1172 Chromosome_2 4665077 38.08
1193 Chromosome_2 4939994 36.98
1194 Chromosome_2 4940075 36.98
1195 Chromosome_2 4973918 36.62
1196 Chromosome_2 4973935 36.62
1199 Chromosome_2 5192902 33.63
1201 Chromosome_2 5200816 33.63
1202 Chromosome_2 5200818 33.63
1203 Chromosome_2 5266034 33.63
1204 Chromosome_2 5266041 33.63
1214 Chromosome_2 5298958 2.91
1216 Chromosome_2 5298961 2.91
1223 Chromosome_2 5381160 32.53
1224 Chromosome_2 5381163 32.53
1227 Chromosome_2 5438631 32.17
1238 Chromosome_2 5571879 32.17
1242 Chromosome_2 5571914 32.17
1248 Chromosome_2 5644329 32.17
1256 Chromosome_2 5664143 32.17
1267 Chromosome_2 5737478 31.44
1269 Chromosome_2 5737528 31.44
1275 Chromosome_2 5798434 31.44
1278 Chromosome_2 5872910 31.44
1280 Chromosome_2 5872934 31.44
1282 Chromosome_2 6102245 29.97
1285 Chromosome_2 6102262 29.97
1286 Chromosome_2 6102294 29.97
1289 Chromosome_2 6190832 30.34
1291 Chromosome_2 6190850 30.34
1292 Chromosome_2 6190861 30.34
1297 Chromosome_2 6439906 27.78
1301 Chromosome_2 6492550 27.78
1302 Chromosome_2 6492564 27.78
1305 Chromosome_2 6627409 27.78
1307 Chromosome_2 6707143 27.78
1308 Chromosome_2 6707146 28.15
1310 Chromosome_2 6731488 27.78
1311 Chromosome_2 6731511 28.15
1312 Chromosome_2 6731525 28.15
1313 Chromosome_2 6731528 27.78
1316 Chromosome_2 6757545 27.78
1318 Chromosome_2 6757588 27.78
1327 Chromosome_2 6924630 26.32
1330 Chromosome_2 6976625 26.32
1331 Chromosome_2 6976662 26.32
1338 Chromosome_2 7220677 25.59
1341 Chromosome_2 7220744 25.96
1342 Chromosome_2 7252194 25.96
1343 Chromosome_2 7252200 26.32
1344 Chromosome_2 7371873 24.87
1345 Chromosome_2 7371875 24.87
1346 Chromosome_2 7371879 24.87
1349 Chromosome_2 7513389 24.87
1350 Chromosome_2 7513401 25.23
1351 Chromosome_2 7513413 25.23
1352 Chromosome_2 7513455 25.23
1353 Chromosome_2 7513457 25.23
1354 Chromosome_2 7513465 25.23
1355 Chromosome_2 7513476 25.23
1357 Chromosome_2 7513480 25.23
1358 Chromosome_2 7559428 24.50
1362 Chromosome_2 7560153 24.50
1368 Chromosome_2 7620421 24.14
1373 Chromosome_2 7725986 23.05
1374 Chromosome_2 7725988 23.05
1375 Chromosome_2 7726067 23.05
1378 Chromosome_2 7864111 22.68
1379 Chromosome_2 7868100 23.41
1387 Chromosome_2 7969430 22.32
1388 Chromosome_2 7969437 22.32
1389 Chromosome_2 7969446 22.32
1391 Chromosome_2 7969510 22.32
1396 Chromosome_2 8007517 21.96
1399 Chromosome_2 8007559 21.96
1400 Chromosome_2 8007569 21.96
1402 Chromosome_2 8137977 21.96
1403 Chromosome_2 8137983 23.41
1405 Chromosome_2 8138021 21.96
1406 Chromosome_2 8138023 21.96
1408 Chromosome_2 8310631 20.11
1412 Chromosome_2 8588801 11.71
1413 Chromosome_2 8588808 11.71
1414 Chromosome_2 8588820 11.71
1419 Chromosome_2 8603801 11.34
1420 Chromosome_2 8614122 12.43
1425 Chromosome_2 8614193 12.07
1426 Chromosome_2 8614197 12.07
1427 Chromosome_2 8615451 12.07
1438 Chromosome_2 8670665 11.34
1440 Chromosome_2 8733308 12.80
1442 Chromosome_2 8755813 12.80
1445 Chromosome_2 8755844 12.80
1446 Chromosome_2 8755849 12.80
1449 Chromosome_2 8755883 12.80
1450 Chromosome_2 8755885 12.80
1452 Chromosome_2 8816495 13.16
1453 Chromosome_2 8816560 13.16
1456 Chromosome_2 8822357 13.16
1458 Chromosome_2 8822373 13.16
1459 Chromosome_2 8822377 13.16
1460 Chromosome_2 8822378 13.16
1461 Chromosome_2 8853672 13.52
1481 Chromosome_2 9007388 15.35
1483 Chromosome_2 9007418 14.99
1484 Chromosome_2 9014336 14.62
1485 Chromosome_2 9018105 14.99
1488 Chromosome_2 9018140 14.99
1489 Chromosome_2 9018141 14.99
1491 Chromosome_2 9102467 14.99
1492 Chromosome_2 9102468 14.62
1493 Chromosome_2 9102470 14.99
1494 Chromosome_2 9126593 15.71
1495 Chromosome_2 9126596 16.08
1496 Chromosome_2 9126597 16.08
1497 Chromosome_2 9126600 16.08
1499 Chromosome_2 9126641 16.08
1501 Chromosome_2 9158373 16.44
1502 Chromosome_2 9158375 16.44
1507 Chromosome_2 9298339 17.91
1508 Chromosome_2 9357663 19.75
1510 Chromosome_2 9357716 19.75
1512 Chromosome_2 9366302 19.75
1513 Chromosome_2 9366339 19.75
1514 Chromosome_2 9366340 19.75
1516 Chromosome_2 9391283 19.75
1517 Chromosome_2 9391285 19.75
1518 Chromosome_2 9391297 19.75
1519 Chromosome_2 9391299 19.75
1521 Chromosome_2 9391332 19.75
1523 Chromosome_2 9416914 19.75
1524 Chromosome_2 9416923 19.75
1527 Chromosome_2 9427999 19.38
1528 Chromosome_2 9428003 19.38
1530 Chromosome_2 9428070 19.38
1544 Chromosome_2 9594444 9.87
1545 Chromosome_2 9594446 9.87
1546 Chromosome_2 9594467 9.87
1547 Chromosome_2 9594479 9.87
1554 Chromosome_2 9660572 9.15
1555 Chromosome_2 9660581 9.15
1556 Chromosome_2 9660591 9.51
1568 Chromosome_2 10087461 8.42
1569 Chromosome_2 10087462 8.42
1570 Chromosome_2 10411368 4.74
1571 Chromosome_2 10411389 4.74
1572 Chromosome_2 10411393 5.11
1574 Chromosome_2 10513255 8.42
1576 Chromosome_2 10628059 8.05
1577 Chromosome_2 10628065 8.05
1578 Chromosome_2 10700372 7.69
1579 Chromosome_2 10700380 7.69
1580 Chromosome_2 10700382 7.32
1581 Chromosome_2 10700397 7.69
1583 Chromosome_2 10700416 7.32
1586 Chromosome_2 10700433 7.32
1587 Chromosome_2 10700434 7.32
1589 Chromosome_2 10862861 6.96
1603 Chromosome_2 10975456 7.32
1614 Chromosome_2 11128980 6.23
1615 Chromosome_2 11129002 6.60
1632 Chromosome_2 11304943 5.13
1636 Chromosome_2 11305042 5.13
1639 Chromosome_2 11392201 5.13
1640 Chromosome_2 11392209 5.13
1649 Chromosome_2 11410464 50.52
1652 Chromosome_2 11410485 50.52
1655 Chromosome_2 11429711 28.46
1658 Chromosome_2 11437691 5.13
1660 Chromosome_2 11437707 5.13
1662 Chromosome_2 11616344 4.41
1663 Chromosome_2 11616345 4.41
1664 Chromosome_2 11616349 4.41
1665 Chromosome_2 11616373 4.41
1666 Chromosome_2 11616374 4.41
1667 Chromosome_2 11616379 4.41
1668 Chromosome_2 11616384 4.41
1669 Chromosome_2 11616389 4.41
1671 Chromosome_2 11665643 4.41
1673 Chromosome_2 11665678 4.41
1676 Chromosome_2 11665696 4.41
1677 Chromosome_2 11665707 4.41
1678 Chromosome_2 11679589 4.41
1679 Chromosome_2 11689310 4.77
1685 Chromosome_2 11778237 4.41
1686 Chromosome_2 11778291 4.41
1688 Chromosome_2 11802349 4.41
1690 Chromosome_2 11802385 4.41
1698 Chromosome_2 11899801 4.41
1699 Chromosome_2 11899817 4.41
1700 Chromosome_2 11899859 4.41
1709 Chromosome_2 12064985 4.41
1710 Chromosome_2 12064990 4.41
1711 Chromosome_2 12064995 4.41
1712 Chromosome_2 12065005 4.41
1713 Chromosome_2 12065016 4.41
1716 Chromosome_2 12065023 4.41
1722 Chromosome_2 12163149 3.68
1725 Chromosome_2 12163197 3.68
1726 Chromosome_2 12163201 3.68
1727 Chromosome_2 12260028 1.45
1728 Chromosome_2 12260034 1.45
1729 Chromosome_2 12260045 1.45
1730 Chromosome_2 12260062 1.09
1732 Chromosome_2 12284558 1.45
1733 Chromosome_2 12284561 0.73
1734 Chromosome_2 12284576 0.73
1735 Chromosome_2 12284598 0.73
1739 Chromosome_2 12419000 0.36
1740 Chromosome_2 12419015 0.36
1741 Chromosome_2 12419020 0.36
1742 Chromosome_2 12419024 0.36
1743 Chromosome_2 12448483 0.36
1752 Chromosome_2 12615957 0.00
1755 Chromosome_2 12677581 0.00
1761 Chromosome_2 12691485 0.00
1762 Chromosome_2 12691498 0.00
1764 Chromosome_2 12691528 0.00
1769 Chromosome_2 12727267 0.00
1775 Chromosome_3 61559 0.00
1776 Chromosome_3 61567 0.00
1780 Chromosome_3 99262 0.00
1781 Chromosome_3 99265 0.00
1782 Chromosome_3 99283 0.00
1784 Chromosome_3 110981 0.00
1785 Chromosome_3 128872 0.00
1786 Chromosome_3 128899 0.00
1787 Chromosome_3 128902 0.00
1788 Chromosome_3 128944 0.00
1790 Chromosome_3 158054 0.00
1791 Chromosome_3 158082 0.00
1793 Chromosome_3 158113 51.18
1796 Chromosome_3 173313 0.00
1797 Chromosome_3 188646 0.00
1798 Chromosome_3 188650 0.00
1811 Chromosome_3 297309 0.00
1812 Chromosome_3 319643 0.00
1813 Chromosome_3 400931 0.73
1816 Chromosome_3 420386 0.36
1817 Chromosome_3 420388 0.36
1827 Chromosome_3 713513 1.46
1828 Chromosome_3 713517 1.82
1829 Chromosome_3 713518 1.82
1830 Chromosome_3 713529 1.82
1833 Chromosome_3 755387 1.46
1835 Chromosome_3 808786 2.55
1837 Chromosome_3 965982 2.18
1853 Chromosome_3 1010012 2.55
1859 Chromosome_3 1026746 2.18
1860 Chromosome_3 1026791 2.18
1861 Chromosome_3 1026815 2.55
1874 Chromosome_3 1246817 3.65
1877 Chromosome_3 1246877 3.65
1880 Chromosome_3 1329329 3.65
1881 Chromosome_3 1329335 3.65
1882 Chromosome_3 1329338 3.65
1883 Chromosome_3 1329344 3.65
1891 Chromosome_3 1368125 3.65
1892 Chromosome_3 1372049 3.65
1893 Chromosome_3 1389844 3.65
1895 Chromosome_3 1523081 3.65
1896 Chromosome_3 1596643 3.65
1899 Chromosome_3 1596704 3.65
1901 Chromosome_3 1616976 3.65
1905 Chromosome_3 1745571 46.81
1906 Chromosome_3 1745573 46.81
1907 Chromosome_3 1745578 46.81
1908 Chromosome_3 1745581 46.81
1923 Chromosome_3 1984098 4.37
1930 Chromosome_3 2246998 4.37
1958 Chromosome_3 2510456 4.74
1960 Chromosome_3 2510495 4.74
1963 Chromosome_3 2510527 4.01
1964 Chromosome_3 2553538 5.10
1965 Chromosome_3 2553556 5.47
1966 Chromosome_3 2553562 5.47
1970 Chromosome_3 2647804 5.47
1971 Chromosome_3 2647808 5.10
1972 Chromosome_3 2647817 5.47
1973 Chromosome_3 2647833 5.83
1974 Chromosome_3 2647855 5.10
1976 Chromosome_3 2647867 5.10
1977 Chromosome_3 2647888 5.10
1978 Chromosome_3 2647889 5.10
1980 Chromosome_3 2647913 5.47
1987 Chromosome_3 3270163 8.43
1989 Chromosome_3 3270228 8.80
1996 Chromosome_3 3278576 8.80
1999 Chromosome_3 3278647 8.80
2000 Chromosome_3 3288802 8.80
2003 Chromosome_3 3422182 8.43
2004 Chromosome_3 3422185 8.43
2005 Chromosome_3 3422212 8.43
2014 Chromosome_3 3672206 9.16
2017 Chromosome_3 3672222 9.16
2019 Chromosome_3 3672224 9.16
2020 Chromosome_3 3672228 9.16
2023 Chromosome_3 3672244 9.16
2033 Chromosome_3 3685876 9.16
2039 Chromosome_3 3722250 9.16
2040 Chromosome_3 3722309 9.16
2056 Chromosome_3 3811474 32.13
2084 Chromosome_3 4019039 12.83
2085 Chromosome_3 4019040 12.83
2086 Chromosome_3 4019089 12.83
2094 Chromosome_3 4247109 12.10
2095 Chromosome_3 4247113 12.10
2096 Chromosome_3 4247123 12.10
2117 Chromosome_3 4717079 10.25
2118 Chromosome_3 4717080 10.25
2128 Chromosome_3 4753598 16.17
2133 Chromosome_3 4753634 16.17
2149 Chromosome_3 4956053 45.08
2157 Chromosome_3 5005617 9.89
2158 Chromosome_3 5005620 9.89
2159 Chromosome_3 5005638 9.89
2160 Chromosome_3 5005644 9.89
2161 Chromosome_3 5013994 9.89
2162 Chromosome_3 5014078 9.89
2173 Chromosome_3 5151729 13.56
2174 Chromosome_3 5151777 13.56
2175 Chromosome_3 5151788 13.56
